date,tesla_close,nifty_close,Both,Nifty,Tesla,Unknown
2024-12-02,357.0899963378906,24276.05078125,,,,
2024-12-03,351.4200134277344,24457.150390625,,,,
2024-12-04,357.92999267578125,24467.44921875,,,,
2024-12-05,369.489990234375,24708.400390625,,,,
2024-12-06,389.2200012207031,24677.80078125,,,,
2024-12-09,389.7900085449219,24619.0,,,,
2024-12-10,400.989990234375,24610.05078125,,,,
2024-12-11,424.7699890136719,24641.80078125,,,,
2024-12-12,418.1000061035156,24548.69921875,,,,
2024-12-13,436.2300109863281,24768.30078125,,,,
2024-12-16,463.0199890136719,24668.25,,,,
2024-12-17,479.8599853515625,24336.0,,,,
2024-12-18,440.1300048828125,24198.849609375,,,,
2024-12-19,436.1700134277344,23951.69921875,,,,
2024-12-20,421.05999755859375,23587.5,,,,0.0
2024-12-23,430.6000061035156,23753.44921875,,,,
2024-12-24,462.2799987792969,23727.650390625,,,,
2024-12-26,454.1300048828125,23750.19921875,,,,
2024-12-27,431.6600036621094,23813.400390625,,,,
2024-12-30,417.4100036621094,23644.900390625,,,,
2024-12-31,403.8399963378906,23644.80078125,,,,
2025-01-02,379.2799987792969,24188.650390625,,,,
2025-01-03,410.44000244140625,24004.75,,,,
2025-01-06,411.04998779296875,23616.05078125,,,,
2025-01-07,394.3599853515625,23707.900390625,,,,
2025-01-08,394.94000244140625,23688.94921875,,,,
2025-01-10,394.739990234375,23431.5,,,,
2025-01-13,403.30999755859375,23085.94921875,,,,
2025-01-14,396.3599853515625,23176.05078125,,,,
2025-01-15,428.2200012207031,23213.19921875,,0.0,,
2025-01-16,413.82000732421875,23311.80078125,,,,
2025-01-17,426.5,23203.19921875,,,,
2025-01-21,424.07000732421875,23024.650390625,,,,
2025-01-22,415.1099853515625,23155.349609375,,,,
2025-01-23,412.3800048828125,23205.349609375,,,,
2025-01-24,406.5799865722656,23092.19921875,,,,
2025-01-27,397.1499938964844,22829.150390625,,0.0,,
2025-01-28,398.0899963378906,22957.25,,,,
2025-01-29,389.1000061035156,23163.099609375,,-0.3333333333333333,,
2025-01-30,400.2799987792969,23249.5,,,,
2025-01-31,404.6000061035156,23508.400390625,,,,
2025-02-03,383.67999267578125,23361.05078125,,,,
2025-02-04,392.2099914550781,23739.25,,,,
2025-02-05,378.1700134277344,23696.30078125,,0.0,,
2025-02-06,374.32000732421875,23603.349609375,,,,
2025-02-07,361.6199951171875,23559.94921875,,,,
2025-02-10,350.7300109863281,23381.599609375,,0.0,,
2025-02-11,328.5,23071.80078125,,,,
2025-02-12,336.510009765625,23045.25,,,,
2025-02-13,355.94000244140625,23031.400390625,,,,
2025-02-14,355.8399963378906,22929.25,,,,
2025-02-18,354.1099853515625,22945.30078125,,,,
2025-02-19,360.55999755859375,22932.900390625,,,,
2025-02-20,354.3999938964844,22913.150390625,,,,
2025-02-21,337.79998779296875,22795.900390625,,-1.0,,
2025-02-24,330.5299987792969,22553.349609375,,,,
2025-02-25,302.79998779296875,22547.55078125,,,,0.0
2025-02-27,281.95001220703125,22545.05078125,,,,
2025-02-28,292.9800109863281,22124.69921875,,1.0,,
2025-03-03,284.6499938964844,22119.30078125,,,,
2025-03-04,272.0400085449219,22082.650390625,,,,
2025-03-05,279.1000061035156,22337.30078125,,,,
2025-03-06,263.45001220703125,22544.69921875,,,,
2025-03-07,262.6700134277344,22552.5,,,,
2025-03-10,222.14999389648438,22460.30078125,,,,
2025-03-11,230.5800018310547,22497.900390625,,,,
2025-03-12,248.08999633789062,22470.5,,0.0,,
2025-03-13,240.67999267578125,22397.19921875,,,,
2025-03-17,238.00999450683594,22508.75,,,,
2025-03-18,225.30999755859375,22834.30078125,,,,
2025-03-19,235.86000061035156,22907.599609375,,,,
2025-03-20,236.25999450683594,23190.650390625,,,,
2025-03-21,248.7100067138672,23350.400390625,,,,
2025-03-24,278.3900146484375,23658.349609375,,,,
2025-03-25,288.1400146484375,23668.650390625,,,,
2025-03-26,272.05999755859375,23486.849609375,,,,
2025-03-27,273.1300048828125,23591.94921875,,,,
2025-03-28,263.54998779296875,23519.349609375,,0.0,,
2025-04-01,268.4599914550781,23165.69921875,,,,
2025-04-02,282.760009765625,23332.349609375,,,,
2025-04-03,267.2799987792969,23250.099609375,,,,
2025-04-04,239.42999267578125,22904.44921875,,,,
2025-04-07,233.2899932861328,22161.599609375,,0.0,,
2025-04-08,221.86000061035156,22535.849609375,,,,
2025-04-09,272.20001220703125,22399.150390625,,,,
2025-04-11,252.30999755859375,22828.55078125,,,,
2025-04-15,254.11000061035156,23328.55078125,,0.0,,
2025-04-16,241.5500030517578,23437.19921875,,0.0,,
2025-04-17,241.3699951171875,23851.650390625,,,,
2025-04-21,227.5,24125.55078125,,,,
2025-04-22,237.97000122070312,24167.25,,0.0,,
2025-04-23,250.74000549316406,24328.94921875,,,,
2025-04-24,259.510009765625,24246.69921875,,0.0,,
2025-04-25,284.95001220703125,24039.349609375,,0.0,,
2025-04-28,285.8800048828125,24328.5,,0.0,,
2025-04-29,292.0299987792969,24335.94921875,,0.0,,
2025-04-30,282.1600036621094,24334.19921875,,,,
2025-05-02,287.2099914550781,24346.69921875,,0.0,,
2025-05-05,280.260009765625,24461.150390625,,0.0,,
2025-05-06,275.3500061035156,24379.599609375,,,,
2025-05-07,276.2200012207031,24414.400390625,,,,
2025-05-08,284.82000732421875,24273.80078125,,,,
2025-05-09,298.260009765625,24008.0,,,,
2025-05-12,318.3800048828125,24924.69921875,,,,
2025-05-13,334.07000732421875,24578.349609375,,,,
2025-05-14,347.67999267578125,24666.900390625,,0.4166666666666667,0.3,0.5
2025-05-15,342.82000732421875,25062.099609375,,0.35294117647058826,0.25,
2025-05-16,349.9800109863281,25019.80078125,,0.0,0.3333333333333333,-0.3333333333333333
2025-05-19,342.0899963378906,24945.44921875,,0.15384615384615385,0.0,0.2857142857142857
2025-05-20,343.82000732421875,24683.900390625,,-0.32142857142857145,0.23076923076923078,0.0
2025-05-21,334.6199951171875,24813.44921875,0.0,0.6,0.0,0.0
2025-05-22,341.0400085449219,24609.69921875,,-0.2903225806451613,0.0,-0.14285714285714285
2025-05-23,339.3399963378906,24853.150390625,,0.17647058823529413,0.0,-0.16666666666666666
2025-05-27,362.8900146484375,24826.19921875,,-0.5217391304347826,-0.0625,-0.16666666666666666
2025-05-28,356.8999938964844,24752.44921875,,-0.5,0.0,0.0
2025-05-29,358.42999267578125,24833.599609375,,0.38095238095238093,0.2,0.0
2025-05-30,346.4599914550781,24750.69921875,,0.1875,-0.3333333333333333,-0.3333333333333333
2025-06-02,342.69000244140625,24716.599609375,0.0,0.4,-0.3333333333333333,0.5
2025-06-03,344.2699890136719,24542.5,0.0,-0.26666666666666666,-0.16666666666666666,-0.3333333333333333
2025-06-04,332.04998779296875,24620.19921875,,0.2857142857142857,-0.18181818181818182,0.25
2025-06-05,284.70001220703125,24750.900390625,0.0,0.5625,0.08695652173913043,-0.5
2025-06-06,295.1400146484375,25003.05078125,,0.3333333333333333,-0.08,-1.0
2025-06-09,308.5799865722656,25103.19921875,,0.5555555555555556,0.0,0.2857142857142857
2025-06-10,326.0899963378906,25104.25,0.0,0.3333333333333333,0.5,0.0
